id,attribut,valeur,ref,impactprix,impactpoids,qtt
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Rosaline:2,Standard:0",262024,349.2,3.06956,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Silk:2,Standard:0",5039150,349.2,2.67068,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Topaz:2,Standard:0",627128,349.2,2.5094,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Violet:2,Standard:0",695145,349.2,3.14588,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Antique Green:2,Standard:0",262030,189.2,1.13564,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Arctic White:2,Standard:0",5284410,189.2,0.93788,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Blue Violet:2,Standard:0",626459,189.2,1.19036,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Bordeaux:2,Standard:0",262031,189.2,1.1006,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Crystal:2,Standard:0",249102,150.2,1.1342,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Dark Sapphire:2,Standard:0",943312,189.2,1.0934,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Emerald:2,Standard:0",696438,189.2,1.11452,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Jet:2,Standard:0",650274,189.2,1.14716,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Light Peridot:2,Standard:0",662784,189.2,1.1342,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Light Topaz:2,Standard:0",262032,189.2,1.14332,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Medium Sapphire:2,Standard:0",262033,189.2,1.13564,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Rosaline:2,Standard:0",262034,189.2,1.13564,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Silk:2,Standard:0",5039152,189.2,0.97532,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Topaz:2,Standard:0",627134,189.2,0.90956,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Violet:2,Standard:0",695146,189.2,1.16636,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Antique Green:2,Standard:0",262040,297.2,1.4658,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Blue Violet:2,Standard:0",626105,297.2,1.491,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Bordeaux:2,Standard:0",662792,297.2,1.7346,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Crystal:2,Standard:0",249103,241.2,1.7906,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Dark Sapphire:2,Standard:0",1002764,297.2,1.7234,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Emerald:2,Standard:0",696439,297.2,1.7582,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Jet:2,Standard:0",650275,297.2,1.8118,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Light Peridot:2,Standard:0",662785,297.2,1.7906,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Light Topaz:2,Standard:0",262041,297.2,1.8062,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Medium Sapphire:2,Standard:0",262042,297.2,1.5138,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Rosaline:2,Standard:0",262043,297.2,1.5062,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Silk:2,Standard:0",5039155,297.2,1.527,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Topaz:2,Standard:0",626059,297.2,1.4186,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Violet:2,Standard:0",695147,297.2,1.4998,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x12):1,Crystal:2,Standard:0",249104,125.2,0.317,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","60 (x5):1,Crystal:2,Standard:0",250850,77.2,0.0847,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","70 (x1):1,Crystal:2,Standard:0",250851,0,6.2822,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","100 (x1):1,Crystal:2,Standard:0",250852,235.2,0,10
32,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Crystal:2,Standard:0",5279221,0,0,10
32,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Crystal:2,Standard:0",5279222,104,0.6564,10
33,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30x24 (x144):1,Crystal:2,Standard:0",159054,118,3.17376,10
33,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x34 (x48):1,Crystal:2,Standard:0",159211,10,0.4344,10
33,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50x42 (x28):1,Crystal:2,Standard:0",159212,0,0,10
34,"Taille:select:1, Couleur:select:2, Effet:select:0 ","38x16 (x150):1,Crystal:2,Standard:0",159040,0,0,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18x7.5 (x1.62):1,Crystal:2,Standard:0",159213,692,0,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Antique Green:2,Standard:0",207943,99,7.16628,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Blue Violet:2,Standard:0",941297,99,7.48884,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Bordeaux:2,Standard:0",661906,99,6.95796,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Crystal:2,Standard:0",159214,43,7.1562,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Dark Sapphire:2,Standard:0",943313,99,6.91764,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Jet:2,Standard:0",624856,99,7.23348,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Light Peridot:2,Standard:0",686085,99,7.1562,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Light Topaz:2,Standard:0",247741,99,7.21332,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Medium Sapphire:2,Standard:0",182808,99,7.16628,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Rosaline:2,Standard:0",178664,99,7.16628,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x11 (x336):1,Topaz:2,Standard:0",941296,99,5.829,10
