id,attribut,valeur,ref,ean13,impactprix,impactpoids
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,CRYSTAL:1,GOLD. TEAK:2",681160,9003146811609,85,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 50,0X 14,0 (x150):0,CRYSTAL:1,GOLD. TEAK:2",657377,9003146573774,34,-0.216
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,ROSALINE:1,:2",178664,9003141786643,99,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,CRYSTAL:1,BL.AB:2",170300,9003141703008,85,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,CRYSTAL:1,SILVGLAZE:2",5101427,9009651014276,85,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 63,0X 13,0 (x150):0,CRYSTAL:1,GOLD. TEAK:2",679322,9003146793226,163,-0.066
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,BORDEAUX:1,:2",661906,9003146619069,99,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,MED.SAPPH:1,:2",182808,9003141828084,99,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM100,0X 20,0 (x48):0,CRYSTAL:1,GOLD. TEAK:2",908459,9003149084598,94,-0.192
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,LT.PERI:1,:2",686085,9003146860850,99,0
17,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 63,0X 21,0 (x90):0,CRYSTAL:1,:2",159220,9003141592206,112,0.576
17,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 38,0X 14,0 (x288):0,CRYSTAL:1,:2",159052,9003141590523,0,0
18,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 63,0X 16,0 (x125):0,CRYSTAL:1,:2",159222,9003141592220,154,1.06
