id,attribut,valeur,ref,impactprix,impactpoids,
27,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"25x8 (x1.08):1,Crystal:0,Standard:1",159048,0,0
28,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"12x12x12 (x480):1,Crystal:0,Standard:1",989475,48,8.715
28,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"18x18x18 (x140):1,Crystal:0,Standard:1",989476,0,0
29,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20x11.5 (x480):1,Crystal:0,Standard:1",989473,28,9.48912
29,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"28x15.5 (x144):1,Crystal:0,Standard:1",989474,0,0
30,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"10 (x560):1,Crystal:0,Standard:1",5277694,0,4.1664
30,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x280):1,Crystal:0,Standard:1",5277695,3,0
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Antique Green:0,Standard:1",262022,349.2,3.06956
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Blue Violet:0,Standard:1",627122,349.2,3.20492
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Bordeaux:0,Standard:1",262026,349.2,2.98172
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Crystal:0,Standard:1",249101,283.2,3.06524
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Dark Sapphire:0,Standard:1",943311,349.2,2.96444
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Emerald:0,Standard:1",696437,349.2,3.01628
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Jet:0,Standard:1",650273,349.2,3.09692
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Light Peridot:0,Standard:1",662782,349.2,3.06524
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Light Topaz:0,Standard:1",262025,349.2,3.08828
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Medium Sapphire:0,Standard:1",262023,349.2,3.06956
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Rosaline:0,Standard:1",262024,349.2,3.06956
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Silk:0,Standard:1",5039150,349.2,2.67068
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Topaz:0,Standard:1",627128,349.2,2.5094
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Violet:0,Standard:1",695145,349.2,3.14588
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Antique Green:0,Standard:1",262030,189.2,1.13564
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Arctic White:0,Standard:1",5284410,189.2,0.93788
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Blue Violet:0,Standard:1",626459,189.2,1.19036
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Bordeaux:0,Standard:1",262031,189.2,1.1006
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Crystal:0,Standard:1",249102,150.2,1.1342
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Dark Sapphire:0,Standard:1",943312,189.2,1.0934
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Emerald:0,Standard:1",696438,189.2,1.11452
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Jet:0,Standard:1",650274,189.2,1.14716
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Light Peridot:0,Standard:1",662784,189.2,1.1342
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Light Topaz:0,Standard:1",262032,189.2,1.14332
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Medium Sapphire:0,Standard:1",262033,189.2,1.13564
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Rosaline:0,Standard:1",262034,189.2,1.13564
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Silk:0,Standard:1",5039152,189.2,0.97532
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Topaz:0,Standard:1",627134,189.2,0.90956
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Violet:0,Standard:1",695146,189.2,1.16636
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Antique Green:0,Standard:1",262040,297.2,1.4658
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Blue Violet:0,Standard:1",626105,297.2,1.491
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Bordeaux:0,Standard:1",662792,297.2,1.7346
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Crystal:0,Standard:1",249103,241.2,1.7906
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Dark Sapphire:0,Standard:1",1002764,297.2,1.7234
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Emerald:0,Standard:1",696439,297.2,1.7582
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Jet:0,Standard:1",650275,297.2,1.8118
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Light Peridot:0,Standard:1",662785,297.2,1.7906
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Light Topaz:0,Standard:1",262041,297.2,1.8062
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Medium Sapphire:0,Standard:1",262042,297.2,1.5138
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Rosaline:0,Standard:1",262043,297.2,1.5062
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Silk:0,Standard:1",5039155,297.2,1.527
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Topaz:0,Standard:1",626059,297.2,1.4186
