EAN/UPC-Code,Material,Article,Size,Colour,Effect,Foiling,Motiv ,Description,custom code,origin,packing unit size (pcs),Brutto weight,,Net weight,,price per packing unit,
9003142659885,265988,8115,"MM 60,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,20,"136,25",G,"117,3",G,152,EUR
9003142659878,265987,8115,"MM 50,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,20,90,G,"71,5",G,"95,1",EUR
9003142659861,265986,8115,"MM 40,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,56,"42,143",G,"35,536",G,222,EUR
9003142659847,265984,8115,"MM 30,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,125,"19,456",G,"16,896",G,199,EUR
9003142659816,265981,8115,"MM 28,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,150,"15,067",G,"12,133",G,199,EUR
9003142659779,265977,8115,"MM 26,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,240,"11,346",G,"9,9",G,265,EUR
9003142659731,265973,8115,"MM 24,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,300,"9,333",G,"8,276",G,276,EUR
9009652568198,5256819,8114,"MM175,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,1,"2206,4",G,"2206,4",G,169,EUR
9003142659663,265966,8115,"MM 18,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,600,"3,6",G,"3,233",G,252,EUR
9003142659700,265970,8115,"MM 20,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,420,"5,286",G,"4,524",G,229,EUR
9003142659557,265955,8115,"MM 16,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,1000,2550,MG,2180,MG,323,EUR
9003142657737,265773,8116,"MM 32,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,125,"22,72",G,"16,896",G,239,EUR
9003142658093,265809,8116,"MM 10,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT,3000,"681,867",MG,"545,5",MG,533,EUR
9003142658147,265814,8116,"MM 12,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,2600,"1096,667",MG,"916,667",MG,467,EUR
9003142658307,265830,8116,"MM 16,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,1000,2550,MG,"2104,861",MG,323,EUR
9003142658376,265837,8116,"MM 18,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,600,"3,633",G,"3,233",G,252,EUR
9003142658406,265840,8116,"MM 20,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,420,"5,286",G,"4,524",G,229,EUR
9003142658444,265844,8116,"MM 22,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,350,"6,686",G,"5,771",G,248,EUR
9003142658451,265845,8116,"MM 24,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,300,"8,8",G,"8,267",G,276,EUR
9003142659380,265938,8116,"MM 26,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,240,"10,75",G,"9,9",G,265,EUR
9003142659397,265939,8116,"MM 28,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,150,"15,067",G,"12,133",G,199,EUR
9003142659403,265940,8116,"MM 30,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,125,"19,096",G,"15,92",G,199,EUR
9003142659410,265941,8116,"MM 60,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,20,"136,25",G,"117,3",G,152,EUR
9003142659427,265942,8116,"MM 34,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,100,"27,1",G,"23,6",G,229,EUR
9003142659434,265943,8116,"MM 36,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,80,31,G,"27,125",G,220,EUR
9003142659458,265945,8116,"MM 38,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,80,36,G,"32,125",G,264,EUR
9003142659465,265946,8116,"MM 40,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,56,"42,143",G,"35,536",G,222,EUR
9003142659472,265947,8116,"MM 50,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,20,90,G,"71,5",G,"95,1",EUR
9003142659533,265953,8115,"MM 12,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,2600,"1138,462",MG,"894,444",MG,467,EUR
9003142659717,265971,8115,"MM 22,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,350,"7,029",G,"5,771",G,248,EUR
9009652792098,5279209,8125/G,"MM 22,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,210,"8,272",G,"6,51",G,193,EUR
