N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
5039049,"8721 MM 38,0X 22,0 CRYSTAL LILAC B",8721M38X22001LILAB-,au programme,192,"409,00 EUR",1728,0,0,0,9009650390494
5039052,"8721 MM 50,0X 29,0 CRYSTAL LILAC B",8721M50X29001LILAB-,au programme,72,"236,00 EUR",504,0,0,0,9009650390524
5039044,"8721 MM 63,0X 37,0 CRYSTAL LILAC B",8721M63X37001LILAB-,au programme,45,"300,00 EUR",945,0,0,0,9009650390449
5101423,"8721 MM 38,0X 22,0 CRYSTAL SILVGLAZE B",8721M38X22001SIGLAB-,au programme,192,"409,00 EUR",960,0,0,0,9009651014238
5101424,"8721 MM 50,0X 29,0 CRYSTAL SILVGLAZE B",8721M50X29001SIGLAB-,au programme,72,"236,00 EUR",432,0,0,0,9009651014245
5101425,"8721 MM 63,0X 37,0 CRYSTAL SILVGLAZE B",8721M63X37001SIGLAB-,au programme,45,"300,00 EUR",225,0,0,0,9009651014252
982317,"8721 MM 38,0X 22,0 CRYSTAL SILVSHADE B",8721M38X22001SSHAB-,au programme,192,"409,00 EUR",768,0,0,0,9003149823173
982319,"8721 MM 50,0X 29,0 CRYSTAL SILVSHADE B",8721M50X29001SSHAB-,au programme,72,"236,00 EUR",1512,0,0,0,9003149823197
982320,"8721 MM 63,0X 37,0 CRYSTAL SILVSHADE B",8721M63X37001SSHAB-,au programme,45,"300,00 EUR",0,0,0,0,9003149823203
982321,"8721 MM 76,0X 44,0 CRYSTAL SILVSHADE B",8721M76X44001SSHAB-,au programme,30,"313,00 EUR",120,0,0,0,9003149823210
982323,"8721 MM 89,0X 52,0 CRYSTAL SILVSHADE B",8721M89X52001SSHAB-,au programme,21,"266,00 EUR",168,0,0,0,9003149823234
